latitude	longitude	data_inserimento	bicycle_parking	capacity	covered	access	addr:city	addr:street	addr:housenumber	note	precisione	controllato	immagine	path	url
44.496.719	11.334.328	2018-02-10T12:57:15.000+01:00	wide_stands	10	no	yes	Bologna	Via San Felice	67		1.806.999.969			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.497.384	11.332.455	2018-02-10T13:00:38.000+01:00	wide_stands	10	no	yes	Bologna	Via san felice	1		1.906.399.918			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.492.688	11.340.548	2018-02-10T13:00:36.000+01:00	bollard	8	no	yes	Bologna	val däó»aposa	12		5		image-13_0_28.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-13_0_28.jpg
44.491.534	11.340.074	2018-02-10T12:57:36.000+01:00	bollard	12	no	yes	Bologna	valdaposa	1		5		image-12_57_31.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_57_31.jpg
44.492.691	1.134.046	2018-02-10T13:01:28.000+01:00	bollard	4	no	yes	Bologna	Valdaposa			1.886.300.087		1518264013620730813381-13_0_20.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518264013620730813381-13_0_20.jpg
44.498.059	11.331.218	2018-02-10T13:05:10.000+01:00	wide_stands	10	no	yes	Bologna	Via riva di reno	13	Angolo con via ferrarese	165.340.004			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
4.449.636	11.338.184	2018-02-10T13:06:55.000+01:00	wall_loops	9	no	yes	Bologna	Belvedere		Stazione Borgo Panigale	4.551.000.118			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.498.478	11.332.225	2018-02-10T13:08:00.000+01:00	wide_stands	6	no	yes	Bologna	Riva di reno		test	1.948.200.035			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.497.173	11.341.697	2018-02-10T13:36:43.000+01:00	stands	8	no	yes	Bologna				5.800.000.191		1518266189969-2124520316-13_36_38.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518266189969-2124520316-13_36_38.jpg
44.501.017	11.343.377	2018-02-10T13:43:34.000+01:00	stands	10	no	yes	Bologna		56		4.599.999.905		1518266600548-1244206655-13_43_26.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518266600548-1244206655-13_43_26.jpg
44.494.904	11.330.902	2018-02-10T14:36:22.000+01:00	wide_stands	14	no	yes	Bologna	Via Pietralata			1.911.400.032			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.509.941	11.347.381	2018-02-11T19:51:31.000+01:00	bollard	6	no	yes	Bologna	Algardi			9.102.000.237			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.515.178	11.284.507	2018-02-13T17:38:42.000+01:00	bollard	35	yes	yes	Bologna				7.585.000.038			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
